filename,0.001bar,0.002bar,0.005bar,0.01bar,0.02bar,0.05bar,0.1bar,0.2bar,0.5bar,1bar,LCD,Density_g_cm3,SA_m2_g,AV_cm3_g,Henry
HUCXIO_clean,0.000346708,0.000649155,0.001796242,0.003706823,0.007207097,0.018925085,0.037175196,0.073022574,0.178255783,0.339751561,6.71014,1.277609128,1120.09,0.433623,3.76947E-06
HUDMAW_clean,0.000245957,0.000491913,0.001106804,0.002090631,0.004728515,0.011812063,0.021730261,0.044235284,0.105380081,0.191969082,5.85435,1.414250352,327.93652,0.294714,2.31390E-06
HUDMEA_clean,0.00036171,0.000680505,0.001808549,0.003292173,0.006461732,0.016319858,0.030763729,0.06391229,0.144959818,0.255943434,5.86971,1.419558427,268.258,0.295726,3.32512E-06
HUFHOH_clean,0.000138862,0.000446341,0.001120811,0.001815119,0.003927798,0.0091847,0.018706635,0.03742319,0.092709926,0.185390097,11.37997,0.791329322,2590.9,0.921741,1.88094E-06
HUFHUN_clean,0.000168618,0.000476097,0.000872844,0.001953981,0.004314627,0.009670716,0.018994277,0.039307739,0.099514143,0.19191659,11.46361,0.780594868,2794.23,0.957988,1.95576E-06
HUFJAV_clean,0.000158699,0.000347154,0.000892681,0.002053167,0.003402108,0.009055757,0.018260295,0.036798313,0.092313179,0.184269286,10.82518,0.846585153,2383.39,0.841735,1.86443E-06
HUHBET_clean,0.00010756,0.000244454,0.000542688,0.001261382,0.002292977,0.005832668,0.01132799,0.022470194,0.056913736,0.112492755,5.15548,1.366691726,698.58917,0.333651,1.16740E-06
HUHJAW_clean,1.40203E-05,3.5051E-06,1.75253E-05,4.55659E-05,8.06165E-05,0.000231334,0.000354012,0.000806165,0.002078504,0.004171029,3.68144,2.113070555,18.4772,0.191002,3.89515E-08
HUJVOX_clean,0.000460418,0.000812011,0.002569972,0.004771609,0.009601817,0.02335577,0.047364497,0.094101151,0.231716026,0.449971092,5.27825,0.862595907,2251.03,0.7598,4.72013E-06
HUNCUQ_clean,0.001034105,0.00204285,0.005345222,0.010152258,0.019687434,0.048791701,0.098349822,0.183205566,0.439818466,0.730852676,4.96862,1.298389059,646.306,0.396782,9.97489E-06
HUQHOS_clean,0.000417299,0.000782436,0.001885872,0.003916193,0.007495336,0.018886802,0.039073652,0.075968521,0.193550602,0.377615672,9.73841,0.752026995,2413.78,0.900216,3.87613E-06
HURGEH_clean,0.00025841,0.000606872,0.001315542,0.002595846,0.005089894,0.013053621,0.025527776,0.051310047,0.130348271,0.256636373,7.76009,1.019500656,1981.85,0.613242,2.62231E-06
HURQUG_clean,0.00022996,0.000443494,0.001289418,0.002821114,0.004792199,0.013173413,0.025529648,0.049507066,0.123566451,0.222695563,6.31098,1.673050744,525.936,0.311527,2.56796E-06
HUSGAE_clean,0,0,0,0,0,7.5889E-06,3.7944E-06,3.7944E-06,5.69167E-05,9.11E-05,3.16935,2.187330538,0,0.175558,1.18159E-09
HUXHEP01_clean,0.000353268,0.000760424,0.001972911,0.00402366,0.007951519,0.019405778,0.037066173,0.073264145,0.181905963,0.345286324,4.36937,1.589952136,387.446,0.299257,3.95437E-06
HUYJOA_clean,0.000408685,0.0009427,0.002386719,0.004642659,0.009563224,0.02344216,0.046584618,0.092242883,0.230470979,0.447520749,6.60468,0.952542632,1502.86,0.622125,4.70621E-06
HUZSUR_clean,0.000457325,0.000940057,0.002134183,0.004446214,0.00941073,0.022891651,0.044081038,0.089630597,0.209525938,0.399910289,9.15011,0.889971364,1730.09,0.652146,4.57965E-06
HUZYAE_clean,0.000546949,0.001038086,0.003225881,0.005413676,0.011329652,0.027838574,0.055945041,0.11107524,0.267190033,0.514555966,9.33073,0.70414785,2880.48,0.973074,5.61688E-06
IBABOF01_clean,0.000534413,0.001004393,0.002569729,0.005040914,0.010009815,0.024662578,0.049833037,0.096440647,0.232082929,0.444688221,5.88201,1.102377205,1474.66,0.504176,4.97642E-06
IBABOF_clean,0.000553364,0.000989232,0.002535618,0.005067445,0.00988474,0.024503391,0.049707962,0.097266902,0.234652658,0.448398788,5.93645,1.10163054,1497.5,0.506515,5.00099E-06
IBARUA_clean,0.000166771,0.000443135,0.001219812,0.002191849,0.004412287,0.010997363,0.021994726,0.043522493,0.103145544,0.188680059,7.1268,1.980032743,421.532,0.217471,2.24201E-06
IBASUB_clean,0.000156508,0.000347251,0.001252061,0.002191107,0.004382215,0.010451778,0.02036067,0.040603959,0.097949348,0.185794168,7.25865,1.868819,467.775,0.237797,2.10708E-06
IBATEM_clean,0.000246775,0.000435485,0.000987099,0.002109682,0.004209686,0.010403246,0.020840363,0.041085563,0.098540512,0.183416481,7.23101,1.903269901,464.897,0.236015,2.11620E-06
